1,1,6,1,1,1,1,13,1,0,0,0,0,0,0
2,1,1,1,1,1,1,12,1,0,0,0,0,0,0
3,2,16,8,1,1,4,19,1,0,0,0,0,0,0
4,2,11,3,2,1,1,9,1,0,0,0,0,0,0
5,3,5,8,4,1,5,17,1,0,0,0,0,0,0
6,3,3,8,4,1,4,22,1,0,0,0,0,0,0
7,4,20,3,4,1,1,10,1,0,0,0,0,0,0
8,4,1,10,2,1,1,13,1,0,0,0,0,0,0
9,5,8,3,4,1,1,6,1,0,0,0,0,0,0
10,5,6,3,1,1,1,6,1,0,0,0,0,0,0
11,6,15,10,1,1,4,12,1,0,0,0,0,0,0
12,6,17,3,1,1,1,5,1,0,0,0,0,0,0
13,7,11,10,1,1,1,11,1,0,0,0,0,0,0
14,7,6,13,1,1,4,17,1,0,0,0,0,0,0
15,8,21,3,1,1,1,6,1,0,0,0,0,0,0
16,8,4,3,5,1,1,8,1,0,0,0,0,0,0
17,9,0,34.5,6,2.5,5,21,1,0,0,0,0,0,0
18,9,22,29.5,4,1,1,13,1,0,0,0,0,0,0
19,10,21,35,6,4,3,0,1,0,0,0,0,0,0
20,10,2,34,4,1,5,20,1,0,0,0,0,0,0
21,11,16,34.5,6,3,3,9,1,0,0,0,0,0,0
22,11,6,2,4,1,1,12,1,0,0,0,0,0,0
23,12,20,14,5,1,4,12,1,0,0,0,0,0,0
24,12,16,11,1,1,5,18,1,0,0,0,0,0,0
25,5,19,18,2,1,1,12,2,1,0,0,0,0,0
26,5,1,17,1,1,5,21,2,1,0,0,0,0,0
27,6,21,17,2,1,5,15,2,1,0,0,0,0,0
28,6,7,12,1,1,4,18,2,1,0,0,0,0,0
29,7,11,11,2,1,1,9,2,1,0,0,0,0,0
30,7,15,17,2,1,1,12,2,1,0,0,0,0,0
31,8,17,28,1,1,1,12,2,1,0,0,0,0,0
32,8,3,22,2,2,1,13,2,1,0,0,0,0,0
33,9,9,28,2,1,5,9,2,1,0,0,0,0,0
34,9,7,28,2,1,1,13,2,1,0,0,0,0,0
35,10,23,22,2,1,1,6,2,1,0,0,0,0,0
36,10,19,22,2,1,1,7,2,1,0,0,0,0,0
37,11,16,25,3,1,3,12,2,1,0,0,0,0,0
38,11,14,25,3,1,1,12,2,1,0,0,0,0,0
39,12,24,27,3,1,1,12,2,1,0,0,0,0,0
40,12,21,23,3,1,3,9,2,1,0,0,0,0,0
41,7,9,26,3,1,5,12,3,0,1,0,0,0,0
42,7,7,15,3,1,5,17,3,0,1,0,0,0,0
43,8,8,26,3,1,1,12,3,0,1,0,0,0,0
44,8,11,26,3,1,1,12,3,0,1,0,0,0,0
45,9,20,26,3,1,1,17,3,0,1,0,0,0,0
46,9,6,26,3,1,5,12,3,0,1,0,0,0,0
47,10,3,24,4,1,3,16,3,0,1,0,0,0,0
48,10,24,23,4,1,4,10,3,0,1,0,0,0,0
49,11,8,26,3,1,1,10,3,0,1,0,0,0,0
50,11,17,33,4,1,6,12,3,0,1,0,0,0,0
51,12,11,31,3,1,5,13,3,0,1,0,0,0,0
52,12,24,30,3,1,1,10,3,0,1,0,0,0,0
53,8,20,26,3,1,1,15,4,0,0,1,0,0,0
54,8,19,26,3,1,1,13,4,0,0,1,0,0,0
55,9,5,26,2,1,1,10,4,0,0,1,0,0,0
56,9,1,24,6,1,5,10,4,0,0,1,0,0,0
57,10,14,25,2,1,3,10,4,0,0,1,0,0,0
58,10,11,26,2,1,1,9,4,0,0,1,0,0,0
59,11,6,25,3,1,1,8,4,0,0,1,0,0,0
60,11,22,25,3,1,1,9,4,0,0,1,0,0,0
61,12,24,25,3,1,2,16,4,0,0,1,0,0,0
62,12,2,23,3,1,1,12,4,0,0,1,0,0,0
63,1,15,2,1,2,1,17,5,0,0,0,1,0,0
64,1,9,2,1,2,1,10,5,0,0,0,1,0,0
65,2,5,2,2,2,5,17,5,0,0,0,1,0,0
66,2,1,4,2,1,1,10,5,0,0,0,1,0,0
67,3,13,2,2,2,1,10,5,0,0,0,1,0,0
68,3,21,2,2,2,5,12,5,0,0,0,1,0,0
69,4,11,9,1,1,1,21,5,0,0,0,1,0,0
70,4,5,36,2,1,5,10,5,0,0,0,1,0,0
71,5,15,17,1,1,1,21,5,0,0,0,1,0,0
72,5,21,17,3,1,1,9,5,0,0,0,1,0,0
73,6,5,3,2,1,1,8,5,0,0,0,1,0,0
74,6,21,34,3,4,1,22,5,0,0,0,1,0,0
75,7,7,3,2,1,1,6,5,0,0,0,1,0,0
76,7,21,3,5,1,1,12,5,0,0,0,1,0,0
77,8,7,23,2,1,1,9,5,0,0,0,1,0,0
78,8,15,2,1,2,1,16,5,0,0,0,1,0,0
79,9,19,9,2,1,1,13,5,0,0,0,1,0,0
80,9,7,23,1,1,1,9,5,0,0,0,1,0,0
81,10,19,10,2,1,1,9,5,0,0,0,1,0,0
82,10,15,3,2,1,1,16,5,0,0,0,1,0,0
83,11,1,9,2,1,1,8,5,0,0,0,1,0,0
84,11,2,31,3,1,1,14,5,0,0,0,1,0,0
85,12,17,23,2,1,1,10,5,0,0,0,1,0,0
86,12,13,34,4,4,1,0,5,0,0,0,1,0,0
87,8,1,30,1,1,1,16,6,0,0,0,0,1,0
88,8,12,28.5,1,1,1,12,6,0,0,0,0,1,0
89,9,4,26,3,1,1,16,6,0,0,0,0,1,0
90,9,14,28,2,1,1,13,6,0,0,0,0,1,0
91,10,24,25,3,1,1,13,6,0,0,0,0,1,0
92,10,24,33,3,1,3,12,6,0,0,0,0,1,0
93,11,22,28.5,3,1,1,16,6,0,0,0,0,1,0
94,11,4,27,6,1,1,16,6,0,0,0,0,1,0
95,12,24,28.5,3,1,1,14,6,0,0,0,0,1,0
96,12,23,33,1,1,1,16,6,0,0,0,0,1,0
97,6,1,19,3,1,1,9,7,0,0,0,0,0,1
98,6,7,19,3,1,1,9,7,0,0,0,0,0,1
99,7,1,20,2,1,1,13,7,0,0,0,0,0,1
100,7,6,20,3,1,1,16,7,0,0,0,0,0,1
101,8,20,7,2,1,1,9,7,0,0,0,0,0,1
102,8,24,16,2,1,1,17,7,0,0,0,0,0,1
103,9,17,20,2,1,1,13,7,0,0,0,0,0,1
104,9,20,25,3,1,1,16,7,0,0,0,0,0,1
105,10,12,20,3,1,1,13,7,0,0,0,0,0,1
106,10,20,20,3,1,1,16,7,0,0,0,0,0,1
107,11,10,25,3,1,1,9,7,0,0,0,0,0,1
108,11,6,21,3,1,1,9,7,0,0,0,0,0,1
109,12,2,21,2,1,1,10,7,0,0,0,0,0,1
110,12,20,20,3,1,1,9,7,0,0,0,0,0,1